-0.002828,-0.004614,0.05511,-0.1414,-0.2307,2.755,-0.000568,1.006,0.001314,8.266E-05,0.001143,0.0001679,-0.002644,0.0568,0.008266,-0.1314,14157421
-0.006149,-0.004271,0.05683,-1.227E-08,1.267E-09,6.35E-09,0.005054,1.007,-0.001039,-0.004689,-0.01019,-0.009436,0.00214,-4.177E-08,-3.553E-08,1.752E-08,14179598
-0.004173,-0.004468,0.05624,0.1045,-0.01039,-0.03117,0.002331,1.007,-0.0003946,-0.001525,-0.004696,-0.003069,0.0008019,0.2902,0.3373,-0.06829,14198442
-0.005626,-0.00461,0.05804,-0.06768,-0.00662,0.08376,0.007641,1.008,-0.00202,-0.00502,-0.01543,-0.01009,0.00415,-0.4977,-0.3278,0.1524,14219876
-0.005215,-0.004205,0.05652,0.02205,0.02169,-0.08135,0.003361,1.007,-0.00188,-0.002625,-0.006779,-0.005275,0.003804,0.4621,0.2574,-0.01537,14238689
-0.003536,-0.005068,0.05488,0.07866,-0.04042,-0.07678,-0.001168,1.007,0.0008936,0.0002518,0.002354,0.0005095,-0.0018,0.4273,0.2716,-0.2619,14259890
-0.004118,-0.005325,0.05614,-0.03117,-0.01376,0.06755,0.001196,1.009,-0.00029,0.0002424,-0.002413,0.0004896,0.0005843,-0.255,-0.001118,0.1276,14278675
-0.003487,-0.005203,0.05469,0.02963,0.005716,-0.06816,-0.002031,1.007,0.001075,0.001208,0.00409,0.002439,-0.00216,0.3055,0.09155,-0.129,14299887
-0.003217,-0.004871,0.05481,0.01451,0.01782,0.006291,-0.001737,1.007,0.001092,0.001104,0.003495,0.002227,-0.002196,-0.03158,-0.01119,-0.002018,14318621
-0.003527,-0.004398,0.0555,-0.0145,0.02211,0.0321,0.0001476,1.006,0.0002917,-2.031E-05,-0.000297,-4.095E-05,-0.000587,-0.1773,-0.1059,0.07531,14339949
-0.003342,-0.004317,0.05539,0.009864,0.004319,-0.005728,-7.374E-05,1.006,0.0004601,-2.018E-05,0.0001484,-4.054E-05,-0.000926,0.02381,2.364E-05,-0.01811,14358722
-0.005596,-0.004645,0.05806,-0.09553,-0.01389,0.1132,0.007439,1.008,-0.001932,-0.004598,-0.01502,-0.009243,0.003965,-0.6407,-0.3908,0.2042,14382385
-0.003781,-0.004284,0.0547,0.08326,0.01655,-0.154,-0.00201,1.007,-7.222E-05,0.00093,0.004046,0.001872,0.0001491,0.8729,0.5101,-0.1719,14404124
-0.004808,-0.005061,0.05618,-0.05506,-0.04164,0.07945,0.002473,1.008,-0.0006264,-0.00204,-0.00499,-0.004112,0.001273,-0.4842,-0.3205,0.05997,14422788
