42,-13,58,-0.01805,0.02110,-0.99959,-0.00640,0.69,-2.08,177.59,3,6985.016200
41,-13,59,-0.01778,0.02185,-0.99957,-0.00766,0.83,-2.06,177.51,3,6985.065205
42,-14,59,-0.01903,0.02058,-0.99955,-0.01095,1.21,-2.21,177.66,3,6985.097158
41,-14,59,-0.01969,0.02164,-0.99953,-0.00897,0.98,-2.28,177.54,3,6985.129148
41,-14,59,-0.01804,0.02111,-0.99955,-0.01172,1.30,-2.09,177.60,3,6985.161163
42,-13,59,-0.01853,0.02030,-0.99960,-0.00697,0.76,-2.14,177.69,3,6985.193264
41,-14,60,-0.01725,0.01949,-0.99964,-0.00628,0.68,-1.99,177.78,3,6985.225285
41,-14,60,-0.01685,0.02027,-0.99962,-0.00746,0.82,-1.95,177.69,3,6985.264150
41,-14,59,-0.01828,0.02110,-0.99955,-0.01098,1.21,-2.12,177.60,3,6985.296187
42,-13,59,-0.01984,0.02080,-0.99955,-0.00853,0.93,-2.29,177.63,3,6985.329379
42,-13,60,-0.01887,0.01932,-0.99961,-0.00645,0.70,-2.18,177.80,3,6985.361383
42,-13,59,-0.01759,0.02067,-0.99960,-0.00850,0.93,-2.04,177.65,3,6985.393352
41,-14,59,-0.01756,0.01977,-0.99964,-0.00536,0.57,-2.02,177.74,3,6985.425387
41,-13,59,-0.01836,0.02062,-0.99959,-0.00747,0.81,-2.12,177.65,3,6985.457577
42,-13,59,-0.01904,0.01958,-0.99957,-0.01090,1.21,-2.21,177.78,3,6985.489580
42,-13,60,-0.01866,0.01959,-0.99956,-0.01203,1.34,-2.17,177.78,3,6985.528386
42,-13,60,-0.01733,0.01941,-0.99960,-0.01147,1.28,-2.01,177.80,3,6985.560353
42,-13,59,-0.01788,0.01963,-0.99959,-0.01093,1.21,-2.07,177.77,3,6985.593526
43,-13,59,-0.01862,0.01915,-0.99958,-0.01091,1.21,-2.16,177.83,3,6985.625648
42,-14,60,-0.01686,0.01983,-0.99962,-0.00926,1.02,-1.95,177.74,3,6985.657666
43,-13,60,-0.01740,0.02012,-0.99960,-0.00982,1.09,-2.02,177.71,3,6985.689660
43,-13,60,-0.01779,0.02039,-0.99960,-0.00867,0.95,-2.06,177.68,3,6985.721663
43,-14,59,-0.01809,0.02076,-0.99955,-0.01194,1.33,-2.10,177.65,3,6985.753770
43,-14,59,-0.01759,0.01973,-0.99961,-0.00880,0.97,-2.03,177.76,3,6985.785768
42,-14,59,-0.01769,0.02108,-0.99954,-0.01302,1.45,-2.06,177.61,3,6985.824575
43,-14,60,-0.01878,0.02163,-0.99951,-0.01276,1.42,-2.18,177.55,3,6985.857769
43,-13,59,-0.01904,0.02179,-0.99956,-0.00643,0.69,-2.20,177.52,3,6985.889937
42,-13,59,-0.01860,0.02150,-0.99957,-0.00700,0.76,-2.15,177.55,3,6985.921837
43,-13,60,-0.01952,0.01897,-0.99962,-0.00476,0.50,-2.25,177.84,3,6985.953880
44,-13,59,-0.01955,0.02212,-0.99955,-0.00572,0.61,-2.25,177.48,3,6985.985869
43,-13,60,-0.01952,0.01897,-0.99962,-0.00476,0.50,-2.25,177.84,3,6986.017935
44,-14,60,-0.01857,0.02186,-0.99955,-0.00865,0.95,-2.15,177.51,3,6986.049934
43,-13,60,-0.01978,0.02094,-0.99955,-0.00847,0.92,-2.29,177.62,3,6986.088809
43,-13,59,-0.01981,0.02093,-0.99956,-0.00640,0.69,-2.28,177.61,3,6986.121971
43,-13,60,-0.01895,0.02047,-0.99960,-0.00417,0.43,-2.18,177.66,3,6986.154057
43,-13,59,-0.01875,0.02126,-0.99958,-0.00629,0.67,-2.16,177.58,3,6986.185955
43,-13,59,-0.01880,0.02127,-0.99956,-0.00836,0.91,-2.17,177.58,3,6986.218048
42,-12,58,-0.01665,0.02102,-0.99961,-0.00840,0.92,-1.93,177.61,3,6986.250041
