Intrinsic parameters (fx,fy,cx,cy) [pixel/mm]: 270.851166,270.782074,160.644485,119.420685
Rotation parameters (th_z,th_x,th_z2) [rad/s]: 4.227320,-2.292840,-0.239114
Translation parameters (Tcw_x,Tcw_y,Tcw_z) [mm]: -2300.000000,1540.000000,3100.000000
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978436.631#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978436.666#
*C2:1,1,1|190.83|157.71|158.48|163.12|164.89|137.73|29978436.690#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978436.706#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.80|29978436.730#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.96|29978436.754#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978436.786#
*C2:1,1,1|190.57|157.61|158.48|163.12|165.13|137.96|29978436.810#
*C2:1,1,1|190.83|157.71|158.48|163.12|164.89|137.73|29978436.850#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978436.866#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978436.890#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.80|29978436.914#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978436.946#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978436.970#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978436.986#
*C2:1,1,1|190.83|157.71|158.48|163.12|164.89|137.73|29978437.010#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978437.050#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978437.066#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.80|29978437.091#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978437.107#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978437.147#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.80|29978437.171#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.89|29978437.187#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978437.211#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.80|29978437.227#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.80|29978437.251#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.96|29978437.267#
*C2:1,1,1|190.83|157.71|158.48|163.12|165.13|137.96|29978437.291#
*C2:1,1,1|190.57|157.61|158.48|163.12|165.13|137.96|29978437.307#
*C2:1,1,1|190.57|157.61|158.48|163.12|165.13|137.96|29978437.331#
*C2:1,1,1|190.83|157.71|158.48|163.12|164.89|137.89|29978437.347#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978437.371#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.80|29978437.387#
*C2:1,1,1|191.07|157.61|158.48|163.12|164.89|137.73|29978437.411#
*C2:1,1,1|191.07|157.61|158.48|163.12|165.13|137.80|29978437.427#
