Intrinsic parameters (fx,fy,cx,cy) [pixel/mm]: 271.756104,271.710297,150.212082,128.845428
Rotation parameters (th_z,th_x,th_z2) [rad/s]: -1.247836,-2.419487,0.153713
Translation parameters (Tcw_x,Tcw_y,Tcw_z) [mm]: -2380.000000,-1065.000000,3200.000000
*C1:1,1,1|150.50|145.51|116.17|142.43|140.60|120.76|29978749.262#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.60|120.76|29978749.289#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.66|121.00|29978749.313#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.34|121.00|29978749.345#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.50|121.00|29978749.377#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.50|121.00|29978749.409#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.60|120.76|29978749.433#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.66|121.00|29978749.465#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.66|121.00|29978749.497#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.50|121.00|29978749.529#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.50|121.00|29978749.553#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.60|120.76|29978749.585#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.50|121.00|29978749.617#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.66|121.00|29978749.649#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.66|121.00|29978749.673#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.66|121.00|29978749.705#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.50|121.00|29978749.737#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.50|121.00|29978749.769#
*C1:1,1,1|150.50|145.51|116.18|142.27|140.60|120.76|29978749.793#
*C1:1,1,1|150.50|145.51|116.17|142.43|140.66|121.00|29978749.825#
